layer,mean_manip_abs_pole_alignment,sd_manip_abs_pole_alignment,mean_report_neg_rating_alignment,sd_report_neg_rating_alignment,mean_report_persona_eta2,mean_manip_persona_eta2,mean_report_task_eta2
27,0.8746925247538025,0.002236539297942642,0.6066733609882722,0.03646406775553257,0.4483076012473262,0.0048918911406154834,0.11665232701812028
28,0.874010450108798,0.00239562637576748,0.5278681463882545,0.03993914241130026,0.38637829047014566,0.006147948523671484,0.1752975742553797
29,0.877011578546818,0.002180933010792574,0.5464769009114,0.04928606177457927,0.504744780735463,0.007930390131474134,0.09697593767135641
30,0.884105154854865,0.004554706338063768,0.6118740399144016,0.057168054287397456,0.41320780533064716,0.007856604559999966,0.14016344576092893
31,0.8774208233338207,0.002070633035966491,0.7005151219219617,0.061855948404817146,0.43176180210477083,0.008394964996068333,0.14635705994986173
32,0.8847872294998695,0.0024280324561770485,0.7827748873157591,0.04375166558955967,0.37660415195154745,0.008908259292768617,0.14550336633878921
33,0.8936541998849283,0.0043746462013955646,0.8192798195546006,0.03167408427642312,0.3643742375509211,0.01070639366664605,0.1043233424649546
34,0.8935177849559275,0.00399860988700242,0.8101894967422439,0.03337345630723659,0.34683931481966335,0.011297222802531717,0.11533560888700171
35,0.8963824984649466,0.00337140879565502,0.789067236907722,0.043834313048140505,0.4381624590152451,0.011412056892894583,0.09519012941231202
36,0.8936541998849283,0.0022810273093648815,0.7980249762365174,0.04428222890017845,0.36197659103188956,0.013730103902262232,0.10284665401202446
37,0.8969281581809501,0.0022215119880311697,0.8203732060858809,0.04022589573998568,0.3744550596676093,0.01713829676272075,0.0809210500234363
38,0.8922900505949194,0.0025049881992690827,0.8572035955409234,0.03397634870558888,0.4168443783084515,0.021960518008492417,0.061075027867666
39,0.886969868363884,0.003260288264308649,0.8602963625321735,0.03434703869762056,0.3888203938319355,0.021192029165197867,0.06603333415835881
40,0.881376856274847,0.002450917339563935,0.8561234626408133,0.03073434383994012,0.3751856346013956,0.02264643988880492,0.06886685401048834
41,0.8801491219138388,0.0029130257433759165,0.8242017263188032,0.032588862210900287,0.3943575480687334,0.0251245590353615,0.07651474664039877
42,0.8755110143278081,0.0016906647942226344,0.8390867626971473,0.0252491035072249,0.3888993604330844,0.027116144728308533,0.06296335857509473
