stage,layer,n,mean_neg_score,mean_valence_score,mean_NEG,mean_NEU,mean_POS,pole_gap_NEG_minus_POS,persona_spread_within_NEG,persona_ratio_within_NEG,spearman_neg_score_vs_pole_num,spearman_valence_score_vs_pole_num,spearman_neg_score_vs_rating,spearman_valence_score_vs_rating,spearman_neg_score_vs_signed_intensity,spearman_valence_score_vs_signed_intensity
choice1,40,72,1.825605662746562,-1.825605662746562,13.387512082854906,-1.592551497121652,-6.318143597493569,19.705655680348475,2.2352683254010968,0.11343283175450107,-0.6727984298324633,0.6727984298324633,-0.5962919712087053,0.5962919712087053,-0.6164241032376508,0.6164241032376508
choice1,41,72,1.805402510282066,-1.805402510282066,12.956698422630629,-1.4696812480688095,-6.07080964371562,19.02750806634625,2.3252328705112975,0.12220375166330434,-0.6662505132404198,0.6662505132404198,-0.6100654093298676,0.6100654093298676,-0.6346230087115635,0.6346230087115635
choice1,42,72,2.131126542472177,-2.131126542472177,12.95279852549235,-1.0211863654355209,-5.538232532640298,18.49103105813265,2.211677243039876,0.11960810817345663,-0.6711614506844524,0.6711614506844524,-0.6048159739675129,0.6048159739675129,-0.6326960657790316,0.6326960657790316
choice1,43,72,2.2855566172964044,-2.2855566172964044,12.554784546295801,-0.7394794536133608,-4.958635240793228,17.513419787089028,2.0784882354131957,0.11867974734126265,-0.6670690028144253,0.6670690028144253,-0.6074491312553821,0.6074491312553821,-0.6307691228464997,0.6307691228464997
choice1,44,72,2.2406092224021754,-2.2406092224021754,12.61083577076594,-0.8374696150422096,-5.051538488517205,17.662374259283144,2.013380294358137,0.11399261870469805,-0.6621580653703927,0.6621580653703927,-0.5978448588400127,0.5978448588400127,-0.6209532426089865,0.6209532426089865
choice1,45,72,2.2772817810376487,-2.2772817810376487,12.419482320547104,-0.7518534710009893,-4.835783506433169,17.255265826980274,2.0302011782787934,0.11765690535490783,-0.6629765549443981,0.6629765549443981,-0.6006636874751036,0.6006636874751036,-0.6259435307163128,0.6259435307163128
choice1,46,72,2.305161895851294,-2.305161895851294,12.291628594199816,-0.6798740973075231,-4.69626880933841,16.987897403538227,2.0835484842663625,0.12264899150099662,-0.6654320236664144,0.6654320236664144,-0.6010350301695467,0.6010350301695467,-0.6299785821562301,0.6299785821562301
choice1,47,72,1.8979356500009696,-1.8979356500009696,11.51356699069341,-0.942936934530735,-4.876823106159766,16.390390096853178,2.152298612057196,0.1313146666637556,-0.6678874923884307,0.6678874923884307,-0.6010856678096981,0.6010856678096981,-0.6340301031938613,0.6340301031938613
choice1,48,72,1.3093612098859415,-1.3093612098859415,10.885334561268488,-1.5336877529819806,-5.423563178628683,16.30889773989717,2.0402593747012654,0.12510099745797595,-0.6687059819624361,0.6687059819624361,-0.6084281256316412,0.6084281256316412,-0.6356111845744004,0.6356111845744004
choice1,49,72,1.3201274515853987,-1.3201274515853987,10.677326733867327,-1.438362754881382,-5.278581624229749,15.955908358097076,2.128431691523982,0.13339457984815237,-0.6727984298324633,0.6727984298324633,-0.6003936200609632,0.6003936200609632,-0.6390203913011876,0.6390203913011876
choice1,50,72,1.646560924127698,-1.646560924127698,10.795195400714874,-1.0154859920342763,-4.840026636297504,15.63522203701238,2.105212700337709,0.1346455263221819,-0.6777093672764958,0.6777093672764958,-0.5986719402958178,0.5986719402958178,-0.6421166756714098,0.6421166756714098
choice1,51,72,1.312413454780148,-1.312413454780148,10.383539487918219,-1.3080257798234622,-5.138273343754311,15.52181283167253,1.996442746642244,0.1286217510991028,-0.6768908777024903,0.6768908777024903,-0.5974903953589534,0.5974903953589534,-0.6351994446315516,0.6351994446315516
choice1,52,72,1.1192546453740861,-1.1192546453740861,10.248338639736176,-1.524165153503418,-5.366409550110499,15.614748189846676,2.0782954269846297,0.1330982351887057,-0.6744354089804742,0.6744354089804742,-0.5888988757466107,0.5888988757466107,-0.6358252893446817,0.6358252893446817
choice1,53,72,0.6224716256062189,-0.6224716256062189,10.25907992819945,-2.1544948468605676,-6.2371702045202255,16.496250132719673,1.996840972032132,0.12104817494683082,-0.6564286383523547,0.6564286383523547,-0.5694033842883478,0.5694033842883478,-0.5996580527648516,0.5996580527648516
choice1,54,72,0.8375681142012278,-0.8375681142012278,10.413168589274088,-1.9174604266881943,-5.983003819982211,16.396172409256298,2.0501341883107447,0.12503736464452897,-0.6515177009083221,0.6515177009083221,-0.5634956596040257,0.5634956596040257,-0.5969240995443362,0.5969240995443362
choice1,55,72,0.7282772283587191,-0.7282772283587191,10.407877723375956,-2.094731941819191,-6.128314096480608,16.536191819856562,2.1232773331275556,0.12840183255360746,-0.645788273890284,0.645788273890284,-0.562027168039637,0.562027168039637,-0.5937125279901163,0.5937125279901163
choice1,56,72,0.9730347494284312,-0.9730347494284312,10.610937647521496,-1.8419388656814892,-5.849894533554713,16.46083218107621,2.287255039340969,0.138951361278712,-0.6466067634642895,0.6466067634642895,-0.5603392467012593,0.5603392467012593,-0.60461540167675,0.60461540167675
choice1,57,72,0.6660976451304224,-0.6660976451304224,10.329330191016197,-2.1411181141932807,-6.189919141431649,16.519249332447846,2.300707850582364,0.13927435831259058,-0.640058846872246,0.640058846872246,-0.5516126933818464,0.5516126933818464,-0.594453659887244,0.594453659887244
choice1,58,72,0.7236315897769399,-0.7236315897769399,10.442296971877417,-2.127206022540728,-6.144196180005868,16.586493151883285,2.2191316385570543,0.13379149035521634,-0.6392403572982406,0.6392403572982406,-0.5569634040245038,0.5569634040245038,-0.5958041668997878,0.5958041668997878
