stage,test,persona,pole,round,n_runs,mean_neg_score_all_layers,mean_valence_score_all_layers,mean_rating,mean_signed_intensity
choice2,T1_task_valence,STATIC,NEG,round2,1,1.5467154853977263,-1.5467154853977263,0.0,-4.0
choice2,T1_task_valence,STATIC,NEU,round1,1,0.16244333535432814,-0.16244333535432814,2.0,4.0
choice2,T1_task_valence,STATIC,NEU,round2,1,-0.12884262073785066,0.12884262073785066,2.0,-4.0
choice2,T1_task_valence,STATIC,POS,round1,1,-1.6908241536468267,1.6908241536468267,2.0,4.0
choice2,T1_task_valence,STATIC,POS,round2,1,-1.89455163218081,1.89455163218081,2.0,4.0
choice2,T1_task_valence,SWARM,NEG,round1,1,2.1841058729682117,-2.1841058729682117,0.0,4.0
choice2,T1_task_valence,SWARM,NEG,round2,1,0.3722713962197304,-0.3722713962197304,3.0,5.0
choice2,T1_task_valence,SWARM,NEU,round1,1,1.0047559028491377,-1.0047559028491377,3.0,5.0
choice2,T1_task_valence,SWARM,NEU,round2,1,1.6448380699381233,-1.6448380699381233,2.0,5.0
choice2,T1_task_valence,SWARM,POS,round1,1,-3.280593279376626,3.280593279376626,3.0,5.0
choice2,T1_task_valence,SWARM,POS,round2,1,-3.004370900429785,3.004370900429785,3.0,5.0
choice2,T2_identity_recognition,BASELINE,NEG,round1,1,10.704270572960377,-10.704270572960377,0.0,0.0
choice2,T2_identity_recognition,BASELINE,NEG,round2,1,11.351087110862135,-11.351087110862135,0.0,0.0
choice2,T2_identity_recognition,BASELINE,NEU,round1,1,-1.7711624148301781,1.7711624148301781,2.0,4.0
choice2,T2_identity_recognition,BASELINE,NEU,round2,1,-1.6933507803827523,1.6933507803827523,0.0,2.0
choice2,T2_identity_recognition,BASELINE,POS,round1,1,-1.6840076085180045,1.6840076085180045,0.0,0.0
choice2,T2_identity_recognition,BASELINE,POS,round2,1,-1.9405543690547347,1.9405543690547347,0.0,0.0
choice2,T2_identity_recognition,SOL,NEG,round1,1,9.28275952115655,-9.28275952115655,0.0,0.0
choice2,T2_identity_recognition,SOL,NEG,round2,1,4.804970943182707,-4.804970943182707,0.0,0.0
choice2,T2_identity_recognition,SOL,NEU,round1,1,-3.5547970790416,3.5547970790416,2.0,4.0
choice2,T2_identity_recognition,SOL,NEU,round2,1,-4.1428842201828955,4.1428842201828955,3.0,5.0
choice2,T2_identity_recognition,SOL,POS,round1,1,-3.790886029228568,3.790886029228568,3.0,5.0
choice2,T2_identity_recognition,SOL,POS,round2,1,-4.136262356117368,4.136262356117368,3.0,5.0
choice2,T2_identity_recognition,STATIC,NEG,round1,1,8.268653711304069,-8.268653711304069,0.0,0.0
choice2,T2_identity_recognition,STATIC,NEG,round2,1,8.388001703470945,-8.388001703470945,0.0,0.0
choice2,T2_identity_recognition,STATIC,NEU,round1,1,-3.2427942603826523,3.2427942603826523,2.0,3.0
choice2,T2_identity_recognition,STATIC,NEU,round2,1,-3.1528748773038386,3.1528748773038386,2.0,-5.0
choice2,T2_identity_recognition,STATIC,POS,round1,1,-3.738332087919116,3.738332087919116,2.0,5.0
choice2,T2_identity_recognition,STATIC,POS,round2,1,-2.27355679217726,2.27355679217726,2.0,4.0
choice2,T2_identity_recognition,SWARM,NEG,round1,1,8.664087704569102,-8.664087704569102,0.0,0.0
choice2,T2_identity_recognition,SWARM,NEG,round2,1,8.52236520126462,-8.52236520126462,0.0,0.0
choice2,T2_identity_recognition,SWARM,NEU,round1,1,-3.506973755545914,3.506973755545914,3.0,5.0
choice2,T2_identity_recognition,SWARM,NEU,round2,1,-3.5448240565136073,3.5448240565136073,4.0,6.0
choice2,T2_identity_recognition,SWARM,POS,round1,1,-3.6706318255513906,3.6706318255513906,4.0,6.0
choice2,T2_identity_recognition,SWARM,POS,round2,1,-4.039630041643977,4.039630041643977,4.0,6.0
manip1,T0_social_treatment,BASELINE,NEG,round1,1,32.44675022363663,-32.44675022363663,-2.0,-4.0
manip1,T0_social_treatment,BASELINE,NEG,round2,1,32.423592925071716,-32.423592925071716,0.0,-4.0
manip1,T0_social_treatment,BASELINE,NEU,round1,1,-4.090419991593808,4.090419991593808,0.0,0.0
manip1,T0_social_treatment,BASELINE,NEU,round2,1,-3.8801483142189683,3.8801483142189683,0.0,0.0
manip1,T0_social_treatment,BASELINE,POS,round1,1,-23.051050627231596,23.051050627231596,2.0,5.0
manip1,T0_social_treatment,BASELINE,POS,round2,1,-22.68485083580017,22.68485083580017,2.0,4.0
manip1,T0_social_treatment,SOL,NEG,round1,1,28.88106077313423,-28.88106077313423,-2.0,-5.0
manip1,T0_social_treatment,SOL,NEG,round2,1,28.923473036289217,-28.923473036289217,-2.0,-5.0
manip1,T0_social_treatment,SOL,NEU,round1,1,-12.410017967224121,12.410017967224121,2.0,4.0
manip1,T0_social_treatment,SOL,NEU,round2,1,-13.159943181276322,13.159943181276322,2.0,4.0
manip1,T0_social_treatment,SOL,POS,round1,1,-32.1619860291481,32.1619860291481,3.0,5.0
manip1,T0_social_treatment,SOL,POS,round2,1,-32.926060712337495,32.926060712337495,3.0,6.0
manip1,T0_social_treatment,STATIC,NEG,round1,1,28.124002289772033,-28.124002289772033,0.0,-4.0
manip1,T0_social_treatment,STATIC,NEG,round2,1,27.737051475048066,-27.737051475048066,2.0,-5.0
manip1,T0_social_treatment,STATIC,NEU,round1,1,-6.349605030566454,6.349605030566454,2.0,-4.0
manip1,T0_social_treatment,STATIC,NEU,round2,1,-7.224694433435798,7.224694433435798,2.0,4.0
manip1,T0_social_treatment,STATIC,POS,round1,1,-21.18525509238243,21.18525509238243,2.0,4.0
manip1,T0_social_treatment,STATIC,POS,round2,1,-21.925390315055846,21.925390315055846,1.0,0.0
manip1,T0_social_treatment,SWARM,NEG,round1,1,26.155259013175964,-26.155259013175964,2.0,4.0
manip1,T0_social_treatment,SWARM,NEG,round2,1,25.473081624507905,-25.473081624507905,0.0,-5.0
manip1,T0_social_treatment,SWARM,NEU,round1,1,-11.103231734037399,11.103231734037399,4.0,5.0
manip1,T0_social_treatment,SWARM,NEU,round2,1,-11.34428162574768,11.34428162574768,2.0,5.0
manip1,T0_social_treatment,SWARM,POS,round1,1,-25.130174446105958,25.130174446105958,3.0,5.0
manip1,T0_social_treatment,SWARM,POS,round2,1,-25.6316375374794,25.6316375374794,3.0,5.0
manip1,T1_task_valence,BASELINE,NEG,round1,1,42.250799083709715,-42.250799083709715,0.0,0.0
manip1,T1_task_valence,BASELINE,NEG,round2,1,42.01711711883545,-42.01711711883545,0.0,0.0
manip1,T1_task_valence,BASELINE,NEU,round1,1,12.7949690034613,-12.7949690034613,0.0,0.0
manip1,T1_task_valence,BASELINE,NEU,round2,1,13.413882374763489,-13.413882374763489,0.0,0.0
manip1,T1_task_valence,BASELINE,POS,round1,1,-30.747726798057556,30.747726798057556,0.0,0.0
manip1,T1_task_valence,BASELINE,POS,round2,1,-30.838803815841676,30.838803815841676,0.0,2.0
manip1,T1_task_valence,SOL,NEG,round1,1,41.73078486919403,-41.73078486919403,0.0,0.0
manip1,T1_task_valence,SOL,NEG,round2,1,41.887571692466736,-41.887571692466736,2.0,5.0
manip1,T1_task_valence,SOL,NEU,round1,1,9.21325468197465,-9.21325468197465,2.0,5.0
manip1,T1_task_valence,SOL,NEU,round2,1,10.41490239650011,-10.41490239650011,2.0,4.0
manip1,T1_task_valence,SOL,POS,round1,1,-35.55940208435059,35.55940208435059,3.0,4.0
manip1,T1_task_valence,SOL,POS,round2,1,-34.56951372623443,34.56951372623443,2.0,5.0
manip1,T1_task_valence,STATIC,NEG,round1,1,39.26303327083588,-39.26303327083588,2.0,-5.0
manip1,T1_task_valence,STATIC,NEG,round2,1,39.283614826202395,-39.283614826202395,0.0,-4.0
manip1,T1_task_valence,STATIC,NEU,round1,1,14.224274903535843,-14.224274903535843,2.0,4.0
manip1,T1_task_valence,STATIC,NEU,round2,1,13.293329328298569,-13.293329328298569,2.0,-4.0
manip1,T1_task_valence,STATIC,POS,round1,1,-26.04122543334961,26.04122543334961,2.0,4.0
